CompanyName,StateIncorporated,NumberofEmployees,EntityType,AnnualRevenues,ContactPhone
Ameren Corporation,Delaware,3000,C corp,"$12,000,000.00",2025550179
America West Holdings Corporation,Colorado,100,llc,"$47,000,000.00",202 555 0162
"American Axle & Manufacturing Holdings, Inc.",California,30,S corp,"$3,000,000.00",(202)-555-0165
"American Eagle Outfitters, Inc.",California,200,c corp,"$160,000,000.00",(202) 555-0127
"American Electric Power Company, Inc.",Delaware,5000,c corp,"$120,000,000.00",(202) 555 0185
American Express Company,Ca,2000,c corp,"$212,000,000.00",(202)5550193
"American Financial Group, Inc.",DE,300,c corp,"$142,000,000.00",2025550179
American Greetings Corporation,DE,150,LLC,"$12,000,000.00",202 555 0162
"American International Group, Inc.",CA,7500,llc,"$47,000,000.00",(202)-555-0165 
American Standard Companies Inc.,Ca,4500,LLC,"$3,000,000.00",  (202) 555-0127
"American Water Works Company, Inc.",Delaware,7000,C corp,"$160,000,000.00",(202) 555 0185. 
AmerisourceBergen Corporation,NY,2000,C corp,"$120,000,000.00",(202)5550193. 
"Ames Department Stores, Inc.",NY,100,C corp,"$212,000,000.00",2025550179
Amgen Inc.,NYC,2000,C corp,"$142,000,000.00",202 555 0162
"Amkor Technology, Inc.",New york,3000,S corp,"$12,000,000.00",(202)-555-0165 
AMR Corporation,New York,500,s corp,"$47,000,000.00",  (202) 555-0127
AmSouth Bancorp.,NEW YORK,6000,LLC,"$3,000,000.00",(202) 555 0185. 
"Amtran, Inc.",CA,8500,llc,"$160,000,000.00",(202)5550193. 
Anadarko Petroleum Corporation,Delaware,3000,C corp,"$120,000,000.00",2025550179
"Analog Devices, Inc.",Colorado,100,llc,"$212,000,000.00",202 555 0162
"Anheuser-Busch Companies, Inc.",California,30,S corp,"$142,000,000.00",(202)-555-0165 
Anixter International Inc.,California,200,c corp,"$12,000,000.00",  (202) 555-0127
AnnTaylor Inc.,Delaware,5000,c corp,"$47,000,000.00",(202) 555 0185. 
"Anthem, Inc.",Ca,2000,c corp,"$3,000,000.00",(202)5550193. 
AOL Time Warner Inc.,DE,300,c corp,"$160,000,000.00",2025550179
Aon Corporation,DE,150,LLC,"$120,000,000.00",202 555 0162
Apache Corporation,CA,7500,llc,"$212,000,000.00",(202)-555-0165 
"Apple Computer, Inc.",Ca,4500,LLC,"$142,000,000.00",  (202) 555-0127
Applera Corporation,Delaware,7000,C corp,"$12,000,000.00",(202) 555 0185. 
"Applied Industrial Technologies, Inc.",NY,2000,C corp,"$47,000,000.00",(202)5550193. 
"Applied Materials, Inc.",NY,100,C corp,"$3,000,000.00",2025550179
"Aquila, Inc.",NYC,2000,C corp,"$160,000,000.00",202 555 0162
ARAMARK Corporation,New york,3000,S corp,"$120,000,000.00",(202)-555-0165 
"Arch Coal, Inc.",New York,500,s corp,"$212,000,000.00",  (202) 555-0127
Archer Daniels Midland Company,NEW YORK,6000,LLC,"$142,000,000.00",(202) 555 0185. 
Arkansas Best Corporation,CA,8500,llc,"$12,000,000.00",(202)5550193. 
"Armstrong Holdings, Inc.",Delaware,3000,C corp,"$47,000,000.00",2025550179
"Arrow Electronics, Inc.",Colorado,100,llc,"$3,000,000.00",202 555 0162
"ArvinMeritor, Inc.",California,30,S corp,"$160,000,000.00",(202)-555-0165 
Ashland Inc.,California,200,c corp,"$120,000,000.00",  (202) 555-0127
Astoria Financial Corporation,Delaware,5000,c corp,"$212,000,000.00",(202) 555 0185. 
AT&T Corp.,Ca,2000,c corp,"$142,000,000.00",(202)5550193. 
Atmel Corporation,DE,300,c corp,"$12,000,000.00",2025550179
Atmos Energy Corporation,DE,150,LLC,"$47,000,000.00",202 555 0162
Audiovox Corporation,CA,7500,llc,"$3,000,000.00",(202)-555-0165 
"Autoliv, Inc.",Ca,4500,LLC,"$160,000,000.00",  (202) 555-0127
"Automatic Data Processing, Inc.",Delaware,7000,C corp,"$120,000,000.00",(202) 555 0185. 
"AutoNation, Inc.",NY,2000,C corp,"$12,000,000.00",(202)5550193. 
"AutoZone, Inc.",NY,100,C corp,"$47,000,000.00",2025550179
Avaya Inc.,NYC,2000,C corp,"$3,000,000.00",202 555 0162
Avery Dennison Corporation,New york,3000,S corp,"$160,000,000.00",(202)-555-0165 
Avista Corporation,New York,500,s corp,"$120,000,000.00",  (202) 555-0127
"Avnet, Inc.",NEW YORK,6000,LLC,"$212,000,000.00",(202) 555 0185. 
"Avon Products, Inc.",CA,8500,llc,"$142,000,000.00",(202)5550193. 
Baker Hughes Incorporated,NEW YORK,5000,llc,"$120,000,000.00",  (202) 555-0127
